XpryDt,FinInstrmNm,TckrSymb,StrkPric,OptnTp,PCLOSE,OPEN,HIGH,LOW,CLOSE,SttlmPric,TtlTradgVol,OpnIntrst,RptgDt,TYPE,Week,Weekly Returns(%)
4/27/2023,FUTSTK,TATACONSUM,0,XX,714.05,712,722,712,720.8,720.8,1293,9405000,3-Apr-23,1,15,
4/27/2023,FUTSTK,TATACONSUM,0,XX,720.8,722.3,732.1,720.6,731.35,731.35,2117,9236700,5-Apr-23,1,15,
4/27/2023,FUTSTK,TATACONSUM,0,XX,731.35,731.05,734.25,726,732.35,732.35,1657,9019800,6-Apr-23,1,15,1.60239
4/27/2023,FUTSTK,TATACONSUM,0,XX,720.9,722.15,725,719,721.2,721.2,1289,9470700,12-Apr-23,1,16,-1.522496074
4/27/2023,FUTSTK,TATACONSUM,0,XX,720.95,719.7,722.3,714.75,716,716,1778,9873000,17-Apr-23,1,17,
4/27/2023,FUTSTK,TATACONSUM,0,XX,709.85,705.45,708.6,699.1,701.95,701.95,2528,10282500,19-Apr-23,1,17,
4/27/2023,FUTSTK,TATACONSUM,0,XX,701.95,697.95,706.5,697.95,705.65,705.65,1552,10132200,20-Apr-23,1,17,
4/27/2023,FUTSTK,TATACONSUM,0,XX,705.65,704.6,706.2,698.35,701.85,701.85,1523,10053000,21-Apr-23,1,17,-1.976256983
4/27/2023,FUTSTK,TATACONSUM,0,XX,701.85,709,735.25,709,733.35,733.35,10402,8133300,24-Apr-23,1,18,
4/27/2023,FUTSTK,TATACONSUM,0,XX,733.35,735,738.65,730.15,736.15,736.15,5730,6943500,25-Apr-23,1,18,
4/27/2023,FUTSTK,TATACONSUM,0,XX,736.15,733,748.2,723,745.75,745.75,7669,3672900,26-Apr-23,1,18,
5/25/2023,FUTSTK,TATACONSUM,0,XX,750.05,754.35,758.75,748,757.8,757.8,2299,9662400,28-Apr-23,1,18,3.334015136
5/25/2023,FUTSTK,TATACONSUM,0,XX,772.4,772.95,783.8,771.95,782.95,782.95,1909,10580400,8-May-23,1,20,
5/25/2023,FUTSTK,TATACONSUM,0,XX,782.95,781.6,785.85,778.45,782.9,782.9,1269,10586700,9-May-23,1,20,
5/25/2023,FUTSTK,TATACONSUM,0,XX,782.9,783.2,785.05,780.1,784.25,784.25,1000,10432800,10-May-23,1,20,0.1660386998
5/25/2023,FUTSTK,TATACONSUM,0,XX,770.4,773.7,777.7,768.35,769.35,769.35,1308,10510200,18-May-23,1,21,
5/25/2023,FUTSTK,TATACONSUM,0,XX,769.35,770.9,770.9,757.6,764.6,764.6,2003,10209600,19-May-23,1,21,-0.6174043023
5/25/2023,FUTSTK,TATACONSUM,0,XX,764.6,764.25,767.8,761.45,765.55,765.55,4226,7939800,22-May-23,1,22,
5/25/2023,FUTSTK,TATACONSUM,0,XX,765.55,768.95,770.35,762.7,769.25,769.25,4214,5203800,23-May-23,1,22,
6/29/2023,FUTSTK,TATACONSUM,0,XX,785.15,788.8,794.75,786,793.5,793.5,2173,10395000,26-May-23,1,22,3.650969891
6/29/2023,FUTSTK,TATACONSUM,0,XX,793.5,794.1,801.65,794.1,799.65,799.65,2120,10467000,29-May-23,1,23,
6/29/2023,FUTSTK,TATACONSUM,0,XX,799.65,798.05,801.05,794.7,796.25,796.25,969,10588500,30-May-23,1,23,
6/29/2023,FUTSTK,TATACONSUM,0,XX,796.25,793.2,803.8,793.2,802.5,802.5,1920,10504800,31-May-23,1,23,
6/29/2023,FUTSTK,TATACONSUM,0,XX,802.5,802.1,804.95,796.55,797.6,797.6,1374,10640700,1-Jun-23,1,23,
6/29/2023,FUTSTK,TATACONSUM,0,XX,797.6,798.1,803.2,798.1,800.75,800.75,1039,10508400,2-Jun-23,1,23,0.1375601826
6/29/2023,FUTSTK,TATACONSUM,0,XX,800.75,800,804.9,796.85,798.5,798.5,1359,10566000,5-Jun-23,1,24,
6/29/2023,FUTSTK,TATACONSUM,0,XX,798.5,799.95,799.95,789.85,795.8,795.8,1578,10379700,6-Jun-23,1,24,
6/29/2023,FUTSTK,TATACONSUM,0,XX,795.8,795.75,827.25,794.85,826.2,826.2,5892,10467900,7-Jun-23,1,24,
6/29/2023,FUTSTK,TATACONSUM,0,XX,826.2,827,827.55,810.6,811.35,811.35,2740,10419300,8-Jun-23,1,24,
6/29/2023,FUTSTK,TATACONSUM,0,XX,811.35,811.8,815.55,803.35,805.45,805.45,2096,10347300,9-Jun-23,1,24,0.8703819662
6/29/2023,FUTSTK,TATACONSUM,0,XX,805.45,805.95,810.5,802.85,805.45,805.45,1367,10507500,12-Jun-23,1,25,
6/29/2023,FUTSTK,TATACONSUM,0,XX,805.45,808.7,823,806.45,821.9,821.9,3459,9883800,13-Jun-23,1,25,
6/29/2023,FUTSTK,TATACONSUM,0,XX,821.9,822.95,869,818,866.1,866.1,15145,11042100,14-Jun-23,1,25,
6/29/2023,FUTSTK,TATACONSUM,0,XX,866.1,866.65,875.45,859.1,866.55,866.55,5937,10462500,15-Jun-23,1,25,
6/29/2023,FUTSTK,TATACONSUM,0,XX,866.55,871,872.25,854.45,864.85,864.85,3399,10078200,16-Jun-23,1,25,7.374759451
6/29/2023,FUTSTK,TATACONSUM,0,XX,864.85,866,871.05,857.85,861.2,861.2,2335,9840600,19-Jun-23,1,26,
6/29/2023,FUTSTK,TATACONSUM,0,XX,861.2,863.2,871,850,862.15,862.15,2300,9563400,20-Jun-23,1,26,
6/29/2023,FUTSTK,TATACONSUM,0,XX,862.15,861.65,878.5,854.3,860.7,860.7,4385,9414900,21-Jun-23,1,26,
6/29/2023,FUTSTK,TATACONSUM,0,XX,860.7,862.2,862.2,842.65,844.8,844.8,3241,8868600,22-Jun-23,1,26,
6/29/2023,FUTSTK,TATACONSUM,0,XX,844.8,842.1,847.55,833.5,842.5,842.5,3609,7793100,23-Jun-23,1,26,-2.17138876
6/29/2023,FUTSTK,TATACONSUM,0,XX,842.5,852.7,866.5,848.25,863.7,863.7,7222,5562900,26-Jun-23,1,27,
6/29/2023,FUTSTK,TATACONSUM,0,XX,863.7,867.05,867.45,852,853.55,853.55,4176,2937600,27-Jun-23,1,27,
6/28/2023,FUTSTK,TATACONSUM,0,XX,853.55,854.05,859.2,850.2,853.9,854.95,3456,865800,28-Jun-23,1,27,
7/27/2023,FUTSTK,TATACONSUM,0,XX,859.65,859.05,869.4,856.65,867,867,2505,9408600,30-Jun-23,1,27,0.3820771101
7/27/2023,FUTSTK,TATACONSUM,0,XX,867,865.85,870,862.55,864.75,864.75,1647,9504900,3-Jul-23,1,28,
7/27/2023,FUTSTK,TATACONSUM,0,XX,864.75,860,867,858,861.05,861.05,1213,9501300,4-Jul-23,1,28,
7/27/2023,FUTSTK,TATACONSUM,0,XX,861.05,862.1,866.3,846.05,851.5,851.5,4255,9998100,5-Jul-23,1,28,
7/27/2023,FUTSTK,TATACONSUM,0,XX,851.5,850,852.45,847,850.55,850.55,2616,10710000,6-Jul-23,1,28,
7/27/2023,FUTSTK,TATACONSUM,0,XX,850.55,849.85,857.3,835.6,837.65,837.65,3317,10903500,7-Jul-23,1,28,-3.133853715
7/27/2023,FUTSTK,TATACONSUM,0,XX,837.65,841.05,841.55,826,830.4,830.4,2066,10884600,10-Jul-23,1,29,
7/27/2023,FUTSTK,TATACONSUM,0,XX,830.4,833.95,846.65,831.3,843.15,843.15,2337,11093400,11-Jul-23,1,29,
7/27/2023,FUTSTK,TATACONSUM,0,XX,843.15,847.05,850.95,842.4,846.8,846.8,1664,11059200,12-Jul-23,1,29,
7/27/2023,FUTSTK,TATACONSUM,0,XX,846.8,849.8,852.8,838.25,839.95,839.95,1443,11048400,13-Jul-23,1,29,
7/27/2023,FUTSTK,TATACONSUM,0,XX,839.95,839.95,855.55,837.3,854,854,2504,11137500,14-Jul-23,1,29,2.842003854
7/27/2023,FUTSTK,TATACONSUM,0,XX,854,857,863.55,852.4,854.3,854.3,2113,11345400,17-Jul-23,1,30,
7/27/2023,FUTSTK,TATACONSUM,0,XX,854.3,855,864,850.1,859.2,859.2,2332,11486700,18-Jul-23,1,30,
7/27/2023,FUTSTK,TATACONSUM,0,XX,859.2,860.2,863.85,855,861.25,861.25,1981,11296800,19-Jul-23,1,30,
7/27/2023,FUTSTK,TATACONSUM,0,XX,861.25,859.3,878,857.4,875.5,875.5,3710,10980000,20-Jul-23,1,30,
7/27/2023,FUTSTK,TATACONSUM,0,XX,875.5,874.95,878,852,855.45,855.45,3996,10209600,21-Jul-23,1,30,0.1346131336
7/27/2023,FUTSTK,TATACONSUM,0,XX,855.45,852.25,866.6,849.3,862.4,862.4,5148,7631100,24-Jul-23,1,31,
7/27/2023,FUTSTK,TATACONSUM,0,XX,862.4,860.8,870.6,856.1,869.35,869.35,3426,5666400,25-Jul-23,1,31,
7/27/2023,FUTSTK,TATACONSUM,0,XX,869.35,872.6,884.35,869.5,873.25,873.25,4822,3032100,26-Jul-23,1,31,
7/27/2023,FUTSTK,TATACONSUM,0,XX,873.25,874.55,874.85,845.55,849,850.05,6269,552600,27-Jul-23,1,31,
8/31/2023,FUTSTK,TATACONSUM,0,XX,856.1,857.7,868.7,847.4,867.55,867.55,4060,11436300,28-Jul-23,1,31,0.5971706865
8/31/2023,FUTSTK,TATACONSUM,0,XX,867.55,869,869,860.8,864.8,864.8,1897,11216700,31-Jul-23,1,32,
8/31/2023,FUTSTK,TATACONSUM,0,XX,864.8,867.25,868.05,858.3,861.7,861.7,1374,11096100,1-Aug-23,1,32,
8/31/2023,FUTSTK,TATACONSUM,0,XX,861.7,856.75,858.75,844.85,848.7,848.7,2219,11091600,2-Aug-23,1,32,
8/31/2023,FUTSTK,TATACONSUM,0,XX,848.7,840.6,847.05,839.3,841.85,841.85,1826,11329200,3-Aug-23,1,32,
8/31/2023,FUTSTK,TATACONSUM,0,XX,841.85,844.65,846.75,836.6,839.95,839.95,1456,11474100,4-Aug-23,1,32,-2.873496762
8/31/2023,FUTSTK,TATACONSUM,0,XX,839.95,838.9,844.25,834.5,841.55,841.55,1339,11557800,7-Aug-23,1,33,
8/31/2023,FUTSTK,TATACONSUM,0,XX,841.55,842.75,856.25,837.4,850.7,850.7,3058,11543400,8-Aug-23,1,33,
8/31/2023,FUTSTK,TATACONSUM,0,XX,850.7,852.25,865.85,850.45,863.6,863.6,3240,11156400,9-Aug-23,1,33,
8/31/2023,FUTSTK,TATACONSUM,0,XX,863.6,862.15,863.65,851,853.2,853.2,2185,10947600,10-Aug-23,1,33,
8/31/2023,FUTSTK,TATACONSUM,0,XX,853.2,851.4,851.5,838.1,839.3,839.3,2305,10864800,11-Aug-23,1,33,-0.267363793
8/31/2023,FUTSTK,TATACONSUM,0,XX,839.3,838.2,847.1,831.65,845.95,845.95,1646,10811700,14-Aug-23,1,34,
8/31/2023,FUTSTK,TATACONSUM,0,XX,845.95,842.6,844,838.15,842.85,842.85,965,10870200,16-Aug-23,1,34,
8/31/2023,FUTSTK,TATACONSUM,0,XX,842.85,840,846.8,837.45,845.2,845.2,1800,10480500,17-Aug-23,1,34,
8/31/2023,FUTSTK,TATACONSUM,0,XX,845.2,846.15,849.25,836.6,843.9,843.9,1897,10462500,18-Aug-23,1,34,-0.242331107
8/31/2023,FUTSTK,TATACONSUM,0,XX,843.9,845.3,849.5,841.2,848.8,848.8,1380,10449000,21-Aug-23,1,35,
8/31/2023,FUTSTK,TATACONSUM,0,XX,848.8,848.1,852,844.95,848.6,848.6,1358,10358100,22-Aug-23,1,35,
8/31/2023,FUTSTK,TATACONSUM,0,XX,848.6,846.3,847.55,841.3,844.8,844.8,843,10298700,23-Aug-23,1,35,
8/31/2023,FUTSTK,TATACONSUM,0,XX,844.8,847.4,854.65,843.55,844.75,844.75,1899,10239300,24-Aug-23,1,35,
8/31/2023,FUTSTK,TATACONSUM,0,XX,844.75,841.8,846.2,831.55,833.9,833.9,1697,9906300,25-Aug-23,1,35,-1.755419416
8/31/2023,FUTSTK,TATACONSUM,0,XX,833.9,829.7,841.1,828,840.35,840.35,4295,7297200,28-Aug-23,1,36,
8/31/2023,FUTSTK,TATACONSUM,0,XX,840.35,838.8,841.6,834.75,836.6,836.6,3227,5326200,29-Aug-23,1,36,
8/31/2023,FUTSTK,TATACONSUM,0,XX,836.6,839.5,848.7,837.9,847.1,847.1,3997,2875500,30-Aug-23,1,36,
8/31/2023,FUTSTK,TATACONSUM,0,XX,847.1,847.55,847.55,828.95,833.45,834.35,4395,812700,31-Aug-23,1,36,
9/28/2023,FUTSTK,TATACONSUM,0,XX,839.45,841.05,851.5,837.35,849.8,849.8,1760,9534600,1-Sep-23,1,36,1.124531445
9/28/2023,FUTSTK,TATACONSUM,0,XX,849.8,850.75,853.45,842.15,849.95,849.95,1379,9631800,4-Sep-23,1,37,
9/28/2023,FUTSTK,TATACONSUM,0,XX,849.95,849.3,855.7,846.75,850.95,850.95,1663,9707400,5-Sep-23,1,37,
9/28/2023,FUTSTK,TATACONSUM,0,XX,850.95,850.9,887.25,849.65,882.55,882.55,11646,10355400,6-Sep-23,1,37,
9/28/2023,FUTSTK,TATACONSUM,0,XX,882.55,874,874,856.55,860.8,860.8,8095,10089000,7-Sep-23,1,37,
9/28/2023,FUTSTK,TATACONSUM,0,XX,860.8,867.85,867.85,856,856.85,856.85,2031,10139400,8-Sep-23,1,37,0.8118124596
9/28/2023,FUTSTK,TATACONSUM,0,XX,856.85,856.8,866.75,856,865.9,865.9,2195,9669600,11-Sep-23,1,38,
9/28/2023,FUTSTK,TATACONSUM,0,XX,865.9,864.45,876.3,857,865.6,865.6,3764,9112500,12-Sep-23,1,38,
9/28/2023,FUTSTK,TATACONSUM,0,XX,865.6,866.25,894.8,862.35,893.15,893.15,7028,9586800,13-Sep-23,1,38,
9/28/2023,FUTSTK,TATACONSUM,0,XX,893.15,896,899.1,882.15,885.15,885.15,6001,9941400,14-Sep-23,1,38,
9/28/2023,FUTSTK,TATACONSUM,0,XX,885.15,886.65,889.95,876.6,879.4,879.4,2759,9877500,15-Sep-23,1,38,1.559071486
9/28/2023,FUTSTK,TATACONSUM,0,XX,879.4,880.7,886.4,877.8,882,882,2089,9972000,18-Sep-23,1,39,
9/28/2023,FUTSTK,TATACONSUM,0,XX,882,881.8,881.8,866.7,870.5,870.5,2345,9851400,20-Sep-23,1,39,
9/28/2023,FUTSTK,TATACONSUM,0,XX,870.5,868,874.9,862.85,871.25,871.25,3119,9439200,21-Sep-23,1,39,
9/28/2023,FUTSTK,TATACONSUM,0,XX,871.25,875.2,890.7,870.2,878.4,878.4,3725,8813700,22-Sep-23,1,39,-0.4081632653
9/28/2023,FUTSTK,TATACONSUM,0,XX,878.4,874.5,906,869.4,902.5,902.5,6560,7162200,25-Sep-23,1,40,
9/28/2023,FUTSTK,TATACONSUM,0,XX,902.5,906.95,908.2,893.85,896.55,896.55,5559,4650300,26-Sep-23,1,40,
9/28/2023,FUTSTK,TATACONSUM,0,XX,896.55,894,902,886.75,890.65,890.65,3595,2602800,27-Sep-23,1,40,
9/28/2023,FUTSTK,TATACONSUM,0,XX,890.65,888.65,894.8,871.35,875.85,876.5,3960,675900,28-Sep-23,1,40,
10/26/2023,FUTSTK,TATACONSUM,0,XX,880.25,881.4,888,877,881.75,881.75,2416,10229400,29-Sep-23,1,40,-2.299168975
10/26/2023,FUTSTK,TATACONSUM,0,XX,881.75,876,882.95,868.25,875.1,875.1,2158,10047600,3-Oct-23,1,41,
10/26/2023,FUTSTK,TATACONSUM,0,XX,875.1,869.95,873.75,858.1,868.7,868.7,2289,9626400,4-Oct-23,1,41,
10/26/2023,FUTSTK,TATACONSUM,0,XX,868.7,870,871.75,861.3,864.35,864.35,1997,9503100,5-Oct-23,1,41,
10/26/2023,FUTSTK,TATACONSUM,0,XX,864.35,865.95,880.85,865.95,878.6,878.6,3580,9522000,6-Oct-23,1,41,0.3999542909
10/26/2023,FUTSTK,TATACONSUM,0,XX,878.6,872.3,887.6,872.3,884.8,884.8,3150,9948600,9-Oct-23,1,42,
10/26/2023,FUTSTK,TATACONSUM,0,XX,884.8,887.2,893.95,884.55,891.55,891.55,2522,9756000,10-Oct-23,1,42,
